iter	Passed	Remaining
0	1	125
1	2	115
2	3	106
3	4	96
4	4	94
5	6	94
6	7	93
7	7	91
8	8	89
9	9	88
10	10	87
11	12	95
12	14	95
13	15	95
14	16	93
15	17	91
16	18	90
17	19	88
18	20	86
19	21	85
20	22	83
21	23	81
22	24	80
23	25	79
24	26	78
25	27	78
26	28	78
27	29	77
28	30	75
29	31	74
30	32	73
31	33	71
32	34	70
33	35	69
34	36	68
35	37	66
36	38	66
37	40	65
38	40	64
39	42	63
40	43	63
41	44	61
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	50	53
49	51	51
50	53	51
51	54	50
52	55	49
53	57	48
54	57	47
55	59	46
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	64	39
62	65	38
63	67	37
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	103	3
97	104	2
98	105	1
99	106	0
