iter	Passed	Remaining
0	215	215517
1	216	108228
2	217	72448
3	221	55146
4	222	44360
5	224	37133
6	225	32009
7	226	28103
8	227	25060
9	228	22624
10	229	20631
11	230	18969
12	231	17588
13	234	16516
14	236	15517
15	237	14608
16	238	13796
17	239	13068
18	240	12414
19	241	11827
20	242	11296
21	243	10813
22	244	10371
23	246	10005
24	247	9644
25	249	9356
26	250	9040
27	251	8745
28	252	8467
29	253	8211
30	254	7968
31	255	7739
32	256	7529
33	257	7326
34	258	7134
35	259	6953
36	262	6834
37	264	6687
38	265	6534
39	266	6386
40	266	6244
41	267	6111
42	268	5983
43	269	5861
44	270	5749
45	272	5642
46	273	5540
47	276	5493
48	278	5406
49	279	5316
50	281	5229
51	282	5143
52	283	5062
53	284	4983
54	285	4907
55	286	4834
56	287	4763
57	289	4695
58	292	4671
59	294	4608
60	295	4545
61	296	4485
62	297	4426
63	298	4368
64	299	4313
65	301	4259
66	302	4207
67	303	4157
68	304	4108
69	308	4097
70	309	4051
71	310	4005
72	312	3962
73	313	3919
74	314	3877
75	315	3836
76	316	3796
77	317	3757
78	319	3719
79	322	3708
80	324	3677
81	325	3643
82	326	3602
83	327	3571
84	328	3539
85	329	3507
86	331	3474
87	332	3443
88	333	3413
89	336	3404
90	338	3383
91	339	3355
92	341	3327
93	342	3299
94	343	3271
95	344	3245
96	345	3218
97	346	3192
98	347	3167
99	349	3142
100	353	3144
101	354	3121
102	355	3096
103	356	3072
104	357	3049
105	358	3026
106	360	3004
107	361	2983
108	362	2961
109	363	2941
110	364	2920
111	369	2925
112	370	2906
113	371	2887
114	372	2868
115	373	2848
116	374	2827
117	375	2809
118	376	2790
119	378	2772
120	379	2755
121	382	2752
122	385	2745
123	386	2730
124	387	2714
125	389	2700
126	390	2682
127	391	2667
128	393	2654
129	394	2640
130	399	2648
131	401	2640
132	403	2627
133	404	2615
134	406	2602
135	407	2586
136	408	2571
137	409	2555
138	410	2541
139	415	2550
140	416	2537
141	417	2522
142	418	2509
143	419	2495
144	420	2480
145	421	2465
146	422	2451
147	423	2436
148	424	2422
149	425	2413
150	427	2405
151	429	2393
152	430	2382
153	431	2370
154	432	2358
155	433	2346
156	434	2335
157	436	2323
158	437	2313
159	438	2302
160	439	2289
161	441	2282
162	442	2271
163	443	2261
164	444	2250
165	445	2240
166	447	2229
167	448	2219
168	449	2209
169	450	2199
170	451	2189
171	455	2194
172	457	2185
173	458	2175
174	459	2165
175	460	2156
176	461	2146
177	462	2137
178	464	2129
179	465	2120
180	466	2112
181	469	2112
182	471	2104
183	472	2095
184	473	2086
185	474	2078
186	475	2069
187	477	2061
188	478	2054
189	480	2046
190	481	2038
191	482	2029
192	485	2031
193	486	2023
194	488	2015
195	489	2007
196	490	1999
197	491	1991
198	492	1983
199	493	1975
200	494	1967
201	496	1959
202	497	1952
203	501	1956
204	502	1949
205	503	1942
206	505	1934
207	506	1927
208	507	1920
209	508	1912
210	509	1905
211	510	1898
212	511	1890
213	512	1883
214	516	1886
215	518	1880
216	519	1874
217	521	1870
218	522	1864
219	524	1857
220	525	1851
221	526	1844
222	527	1837
223	530	1839
224	532	1834
225	533	1828
226	535	1822
227	536	1815
228	537	1809
229	538	1802
230	539	1796
231	540	1790
232	541	1783
233	542	1777
234	547	1781
235	548	1776
236	549	1770
237	551	1764
238	552	1758
239	553	1752
240	554	1745
241	555	1740
242	556	1733
243	557	1727
244	560	1728
245	562	1724
246	564	1719
247	565	1713
248	566	1707
249	567	1702
250	568	1696
251	569	1690
252	570	1684
253	571	1679
254	572	1673
255	576	1674
256	577	1670
257	579	1665
258	580	1660
259	581	1655
260	582	1649
261	583	1644
262	584	1639
263	586	1634
264	587	1628
265	588	1623
266	592	1626
267	593	1621
268	594	1616
269	596	1611
270	597	1606
271	598	1601
272	599	1596
273	600	1591
274	601	1586
275	602	1581
276	606	1584
277	608	1579
278	609	1575
279	610	1570
280	612	1565
281	613	1561
282	614	1556
283	615	1551
284	616	1546
285	617	1542
286	621	1543
287	623	1540
288	624	1537
289	626	1533
290	627	1529
291	629	1525
292	630	1521
293	632	1517
294	633	1513
295	638	1517
296	639	1513
297	640	1509
298	641	1504
299	643	1500
300	644	1495
301	645	1491
302	646	1486
303	647	1482
304	648	1478
305	652	1480
306	654	1476
307	655	1472
308	656	1468
309	658	1465
310	659	1461
311	661	1457
312	662	1453
313	662	1448
314	665	1448
315	667	1445
316	671	1446
317	675	1448
318	677	1446
319	679	1443
320	681	1441
321	683	1438
322	684	1434
323	685	1430
324	687	1427
325	688	1423
326	689	1419
327	690	1415
328	694	1416
329	695	1413
330	697	1409
331	698	1405
332	699	1401
333	700	1397
334	702	1393
335	703	1389
336	704	1385
337	705	1381
338	706	1377
339	710	1378
340	711	1375
341	713	1372
342	714	1368
343	715	1365
344	716	1361
345	718	1357
346	719	1353
347	720	1349
348	721	1345
349	725	1347
350	726	1343
351	727	1339
352	729	1336
353	730	1332
354	731	1328
355	732	1324
356	733	1321
357	734	1317
358	735	1313
359	736	1310
360	740	1310
361	741	1307
362	742	1303
363	744	1300
364	745	1296
365	746	1292
366	747	1289
367	748	1286
368	750	1282
369	751	1278
370	752	1275
371	754	1273
372	756	1270
373	758	1268
374	759	1265
375	760	1262
376	762	1259
377	763	1256
378	764	1252
379	765	1248
380	768	1249
381	770	1246
382	771	1242
383	772	1239
384	773	1235
385	774	1232
386	776	1229
387	777	1225
388	778	1222
389	779	1219
390	780	1215
391	785	1218
392	786	1215
393	787	1211
394	788	1208
395	789	1204
396	790	1200
397	791	1197
398	792	1193
399	793	1189
400	794	1186
401	795	1182
402	795	1179
403	800	1181
404	801	1178
405	803	1174
406	804	1171
407	805	1168
408	806	1165
409	807	1162
410	808	1158
411	809	1155
412	810	1152
413	816	1155
414	817	1152
415	819	1149
416	820	1147
417	821	1144
418	822	1141
419	823	1137
420	824	1134
421	826	1131
422	829	1131
423	831	1129
424	832	1125
425	833	1122
426	834	1119
427	835	1116
428	836	1113
429	837	1110
430	838	1107
431	840	1104
432	841	1101
433	845	1102
434	846	1099
435	847	1096
436	848	1093
437	850	1090
438	851	1087
439	852	1084
440	853	1081
441	854	1078
442	855	1076
443	857	1073
444	861	1074
445	862	1071
446	863	1068
447	864	1065
448	866	1062
449	867	1060
